Teaching Score,Overall Count,Filtered Count,Journal,Identifier,Date,Author,Overall Rank,ID,Type,Title
    0.8993630573248408,1105,42.0,null,013817231-5,null,Eliot T. S. (Thomas Stearns) 1888-1965,82,5020390,text,The Love Song of J. Alfred Prufrock    
    0.05859872611464968,46,39.0,null,013396945-2,C2012,Roach Kent,12710,4747209,text,Criminal Law    
    0.9388535031847134,1377,36.0,null,000513654-7,1973,Gilman Charlotte Perkins 1860-1935,50,1197206,text,The Yellow Wallpaper    
    0.9694267515923567,1774,36.0,null,009205142-1,2002,Foucault Michel  1926-1984,26,3224679,text,Power    
    0.045859872611464965,36,33.0,null,001798560-9,C1989,Griffiths Curt T. (Curt Taylor) 1948,17474,2204185,text,Canadian Criminal Justice    
    0.07770700636942675,61,33.0,null,000371847-6,1985,Hogg Peter W.,8726,1100155,text,Constitutional Law of Canada    
    0.9821656050955414,2147,32.0,null,011293728-4,2007,Conrad Joseph 1857-1924,15,2593372,text,Heart of Darkness    
    0.8929936305732484,1064,31.0,null,000550868-1,1980 C1925,Woolf Virginia 1882-1941,87,1222996,text,Mrs. Dalloway    
    0.9949044585987261,2710,30.0,null,000255739-8,1978,Shelley Mary Wollstonecraft 1797-1851,5,1011454,text,Frankenstein    
    0.7923566878980892,771,27.0,null,012786083-5,2011] C1954,Beckett Samuel 1906-1989,178,7251878,text,Waiting for Godot    
    0.8369426751592357,862,27.0,null,000595869-5,1979 C1977,Foucault Michel 1926-1984,135,1254313,text,Discipline and Punish : The Birth of the Prison    
    0.8904458598726115,1048,27.0,null,001415736-5,C1972],Kafka Franz 1883-1924,90,1913262,text,The Metamorphosis    
    0.03821656050955414,30,27.0,null,008041816-3,1998,Kerr Margaret Helen 1954,21975,10017063,text,Legal Research : Step by Step    
    0.03184713375796178,25,25.0,null,009113439-0,2003,Roach Kent,27436,3161696,text,September 11 : Consequences for Canada    
    0.8356687898089172,858,25.0,null,008132969-5,Ca. 1900],Browning Robert 1812-1889,136,10079095,text,My Last Duchess    
    0.10191082802547771,80,25.0,null,001007070-2,C1981,Vago Steven,6030,1589952,text,Law and Society    
    0.07388535031847134,58,24.0,null,011397714-X,2005,Ignatieff Michael,9337,2653495,text,The Lesser Evil : Political Ethics in an Age of Terror    
    0.035668789808917196,28,24.0,null,009612679-5,C2004,Rutherford Paul 1944,23955,3497325,text,Weapons of Mass Persuasion : Marketing the War Against Iraq    
    0.02929936305732484,23,23.0,The University of Toronto Law Journal,10.2307/825069,1974-04-01,McNaught Kenneth,30399,10908205,text,Political Trials and the Canadian Political Tradition    
    0.9745222929936306,1918,22.0,null,005701878-2,1732,Milton John 1608-1674,21,608984,text,Paradise Lost    
    0.9859872611464968,2302,22.0,null,000457706-X,C1978,Said Edward W.,12,1158476,text,Orientalism    
    0.04203821656050955,33,22.0,null,001555352-3,1978,Macleod R. C. 1940,19462,2021028,text,The North West Mounted Police 1873-1919    
